Team,Matches Played,Goals,Goals Scored,Goals Against,Penalty,Own Goals,Open Play Goals,Set Piece Goals,Yellow Cards,Red Cards,Fouls Committed,Fouls Suffered,Penalty Commeitted
Argentina,4,6,6,9,0,0,6,0,11,,55,75,2
Australia,3,2,2,5,2,0,0,2,7,,37,30,1
Belgium,7,16,15,6,1,1,14,1,11,,99,75,0
Brazil,5,8,8,3,0,0,8,0,7,,50,73,0
Colombia,4,6,6,3,0,0,5,1,9,1,63,52,2
Costa Rica,3,2,1,5,0,1,1,0,6,,43,35,0
Croatia,7,14,13,9,1,1,12,1,15,,114,105,2
Denmark,4,3,3,2,0,0,3,0,6,,54,28,3
Egypt,3,2,2,6,1,0,1,1,5,,38,21,2
England,7,12,12,8,3,0,8,4,8,,72,100,1
France,7,14,12,6,3,2,9,3,12,,93,103,1
Germany,3,2,2,4,0,0,2,0,2,1,29,39,0
Iceland,3,2,2,5,1,0,1,1,3,,35,27,1
IR Iran,3,2,1,2,1,1,0,1,7,,44,45,1
Japan,4,6,6,7,1,0,5,1,5,,37,48,0
Korea Republic,3,3,3,3,0,0,3,0,10,,63,33,2
Mexico,4,3,3,6,1,0,2,1,9,,54,47,1
Morocco,3,2,2,4,0,0,2,0,8,,62,36,0
Nigeria,3,3,3,4,1,0,2,1,4,,45,44,2
Panama,3,2,1,11,0,1,1,0,11,,49,48,2
Peru,3,2,2,2,0,0,2,0,5,,37,38,0
Poland,3,2,2,5,0,0,2,0,3,,31,33,0
Portugal,4,6,6,6,1,0,4,2,7,,55,59,1
Russia,5,11,10,7,1,1,8,2,6,1,95,56,1
Saudi Arabia,3,2,2,7,1,0,1,1,1,,30,45,0
Senegal,3,4,3,4,0,1,3,0,6,,44,30,0
Serbia,3,2,2,4,0,0,1,1,9,,45,37,0
Spain,4,7,6,6,0,1,6,0,2,,34,59,2
Sweden,5,6,5,4,2,1,3,2,8,,65,64,0
Switzerland,4,5,5,5,0,0,5,0,9,1,53,53,1
Tunisia,3,5,5,8,1,0,4,1,4,,46,35,1
Uruguay,5,7,6,3,0,1,5,1,3,,63,69,0
